variante,monodroga,origen,fecha
MABTHERA,RITUXIMAB,AUTO,2026-08-20T23:36:50.417Z
HERCEPTIN,TRASTUZUMAB,AUTO,2026-08-20T23:36:50.418Z
AVONEX,INTERFERON BETA 1A,AUTO,2026-08-21T01:49:37.512Z
BEVAX,BEVACIZUMAB,AUTO,2026-08-21T01:49:37.512Z
CIMZIA,CERTOLIZUMAB PEGOL,AUTO,2026-08-21T01:49:37.513Z
COPAXONE,GLATIRAMER ACETATO,AUTO,2026-08-21T01:49:37.513Z
DECAPEPTYL RETARD,TRIPTORELINA,AUTO,2026-08-21T01:49:37.513Z
ENBREL AUTOINYECTOR,ETANERCEPT,AUTO,2026-08-21T01:49:37.513Z
ENERCEPTAN,ETANERCEPT,AUTO,2026-08-21T01:49:37.513Z
GENOTROPIN,SOMATOTROFINA,AUTO,2026-08-21T01:49:37.514Z
GINEVA,EVEROLIMUS,AUTO,2026-08-21T01:49:37.514Z
IDACIO,ADALIMUMAB,AUTO,2026-08-21T01:49:37.514Z
INTELENCE,ETRAVIRINA,AUTO,2026-08-21T01:49:37.514Z
ISENTRESS,RALTEGRAVIR,AUTO,2026-08-21T01:49:37.514Z
IXIFI,INFLIXIMAB,AUTO,2026-08-21T01:49:37.514Z
JADENU,DEFERASIROX,AUTO,2026-08-21T01:49:37.515Z
KISQALI,RIBOCICLIB,AUTO,2026-08-21T01:49:37.515Z
LECTRUM,"LEUPROLIDE,ACETATO",AUTO,2026-08-21T01:49:37.515Z
LECTRUM KIT,"LEUPROLIDE,ACETATO",AUTO,2026-08-21T01:49:37.515Z
LEDANE,LENALIDOMIDA,AUTO,2026-08-21T01:49:37.515Z
LENVATIB,LENVATINIB,AUTO,2026-08-21T01:49:37.515Z
MIVUTEN,LAMIVUDINA+TENOFOVIR,AUTO,2026-08-21T01:49:37.516Z
MYFORTIC,MICOFENOLATO SODICO,AUTO,2026-08-21T01:49:37.516Z
NORDITROPIN FLEXPRO,SOMATOTROFINA,AUTO,2026-08-21T01:49:37.516Z
NOVEX,RITUXIMAB,AUTO,2026-08-21T01:49:37.516Z
PRIVIGEN,INMUNOGLOBULINA HUMANA,AUTO,2026-08-21T01:49:37.517Z
OPDIVO,NIVOLUMAB,AUTO,2026-08-21T01:49:37.517Z
ORENCIA,ABATACEPT,AUTO,2026-08-21T01:49:37.517Z
OSPOLOT,SULTIAMO,AUTO,2026-08-21T01:49:37.517Z
PAZOPANE,PAZOPANIB,AUTO,2026-08-21T01:49:37.517Z
PEMBROX,PEMBROLIZUMAB,AUTO,2026-08-21T01:49:37.518Z
PROGRAF,TACROLIMUS,AUTO,2026-08-21T01:49:37.518Z
PROGRAF XL AP,TACROLIMUS,AUTO,2026-08-21T01:49:37.518Z
PROLIA,DENOSUMAB,AUTO,2026-08-21T01:49:37.518Z
PULMOZYME,DNASA HUMANA RECOMBINANTE,AUTO,2026-08-21T01:49:37.518Z
RAPAMUNE,SIROLIMUS,AUTO,2026-08-21T01:49:37.518Z
REKOVELLE,FOLITROPINA DELTA,AUTO,2026-08-21T01:49:37.519Z
REMIVIR COMP REC,EMTRICITABINA+TENOFOVIR,AUTO,2026-08-21T01:49:37.519Z
SAIKEL,RUFINAMIDA,AUTO,2026-08-21T01:49:37.519Z
SAIZEN,SOMATOTROFINA,AUTO,2026-08-21T01:49:37.519Z
SANDIMMUN NEORAL,CICLOSPORINA P/MICROEMULSION,AUTO,2026-08-21T01:49:37.519Z
SANDOSTATIN LAR,OCTREOTIDA,AUTO,2026-08-21T01:49:37.519Z
SELMIVIR,ABACAVIR+LAMIVUDINA,AUTO,2026-08-21T01:49:37.519Z
STELARA,USTEKINUMAB,AUTO,2026-08-21T01:49:37.520Z
SUPRIMUN,MICOFELANATO MOFETIL,AUTO,2026-08-21T01:49:37.520Z
SUTENT,"SUNITINIB,?MALATO",AUTO,2026-08-21T01:49:37.520Z
TERFLIMIDA,TERIFLUNOMIDA,AUTO,2026-08-21T01:49:37.520Z
TIRKANIB,NILOTINIB,AUTO,2026-08-21T01:49:37.520Z
TOLVAR XR LP,TOFACITINIB,AUTO,2026-08-21T01:49:37.520Z
XELJANZ XR,TOFACITINIB,AUTO,2026-08-21T01:49:37.520Z
TRIVENZ COMP REC,EFAVIRENZ+TENOFOVIR+EMTRICITABINA,AUTO,2026-08-21T01:49:37.520Z
TRILEXA COMP REC,ELEXACAFTOR+TEZACAFTOR+IVACAFTOR,AUTO,2026-08-21T01:49:37.521Z
TRIXACAR COMP REC,ELEXACAFTOR+TEZACAFTOR+IVACAFTOR,AUTO,2026-08-21T01:49:37.521Z
VIRONTAR COMP REC,RITONAVIR+DARUNAVIR,AUTO,2026-08-21T01:49:37.521Z
VIRONTAR,RITONAVIR+DARUNAVIR,AUTO,2026-08-21T01:49:37.521Z
XEOMIN INY,TOXINA BOTULINICA TIPO A,AUTO,2026-08-21T01:49:37.521Z
TRI ZEVUVIR,EMTRICITABINA+TENOFOV+DOLUTEGRAV,AUTO,2026-08-21T01:49:37.521Z
ZEVUVIR,DOLUTEGRAVIR,AUTO,2026-08-21T01:49:37.521Z
ZEVUVIR ABC PACK COMP REC,DOLUTEGRAVIR+LAMIVUDINA+ABACAVIR,AUTO,2026-08-21T01:49:37.522Z
ZEVUVIR PACK COMP REC,DOLUTEGRAVIR+LAMIVUDINA,AUTO,2026-08-21T01:49:37.522Z
AC BUROSUMAB,BUROSUMAB,AUTO,2026-08-21T01:49:37.559Z
AC TRASTUZUMAB,TRASTUZUMAB,AUTO,2026-08-21T01:49:37.560Z
INMUNOGLOBULINA HUMANA,INMUNOGLOBULINA HUMANA NORMAL,AUTO,2026-08-21T01:49:37.561Z
INMUNOGLOB HUMANA NORMAL,INMUNOGLOBULINA HUMANA NORMAL,AUTO,2026-08-21T01:49:37.561Z
INSULINA NOVORAPID ASPARTICA UL,"INSULINA, ASPARTICA",AUTO,2026-08-21T01:49:37.561Z
INSULINA LANTUS GLARGINA,"INSULINA, GLARGINA",AUTO,2026-08-21T01:49:37.561Z
AC UPADACITINIB LP,UPADACITINIB,AUTO,2026-08-21T01:49:37.561Z
AC INMUNOGLOBULINA,INMUNOGLOBULINA HUMANA NORMAL,AUTO,2026-08-21T01:49:37.561Z
AC TACROLIMUS,TACROLIMUS,AUTO,2026-08-21T01:49:37.561Z
AC NIVOLUMAB,NIVOLUMAB,AUTO,2026-08-21T01:49:37.562Z
AC SECUKINUMAB,SECUKINUMAB,AUTO,2026-08-21T01:49:37.562Z
AC ONABOTULINUMTOXINA,TOXINA BOTULINICA TIPO A,AUTO,2026-08-21T01:49:37.563Z
AC MICOFENOLATO,ACIDO MICOFENOLICO,AUTO,2026-08-21T01:49:37.563Z
AC VALGANCICLOVIR,"VALGANCICLOVIR, CLORHIDRATO",AUTO,2026-08-21T01:49:37.563Z
AC TACROLIMUS AP,TACROLIMUS,AUTO,2026-08-21T01:49:37.564Z
BEVACIZUMAB ENV,BEVACIZUMAB,AUTO,2026-08-21T01:49:37.564Z
AC ETANERCEPT,ETANERCEPT,AUTO,2026-08-21T01:49:37.564Z
AC CARBOPLATINO,CARBOPLATINO,AUTO,2026-08-21T01:49:37.565Z
ENOXAPARINA SODICA,"ENOXAPARINA, SODICA",AUTO,2026-08-21T01:49:37.565Z
AC GOSERELIN DEPOT,"GOSERELINA, ACETATO",AUTO,2026-08-21T01:49:37.565Z
MICOFENOLATO MOFETIL,"MICOFENOLATO, MOFETIL",AUTO,2026-08-21T01:49:37.567Z
ONABOTULINUMTOXINA,TOXINA BOTULINICA TIPO A,AUTO,2026-08-21T01:49:37.567Z
AC ADALIMUMAB,ADALIMUMAB,AUTO,2026-08-21T01:49:37.568Z
AC TOFACITINIB,"TOFACITINIB, CITRATO",AUTO,2026-08-21T01:49:37.568Z
AC ELTROMBOPAG,"ELTROMBOPAG, OLAMINA",AUTO,2026-08-21T01:49:37.568Z
AC ONDANSETRON,"ONDANSETRON, CLORHIDRATO",AUTO,2026-08-21T01:49:37.569Z
AC VINCRISTINA LIOF,"VINCRISTINA, SULFATO",AUTO,2026-08-21T01:49:37.569Z
AC ABIRATERONA,"ABIRATERONA, ACETATO",AUTO,2026-08-21T01:49:37.569Z
AC PEMETREXED,"PEMETREXED, DISODICO",AUTO,2026-08-21T01:49:37.570Z
AC MICOFENOLATO MOFETIL,"MICOFENOLATO, MOFETIL",AUTO,2026-08-21T01:49:37.570Z
OXALPLATINO,OXALIPLATINO,AUTO,2026-08-21T01:49:37.571Z
TENOFOVIR DISOPROXIL,"TENOFOVIR, DISOPROXIL FUMARATO",AUTO,2026-08-21T01:49:37.571Z
AC FINGOLINOD,"FINGOLIMOD, CLORHIDRATO",AUTO,2026-08-21T01:49:37.571Z
AC MEPREDNISONA,MEPREDNISONA,AUTO,2026-08-21T01:49:37.571Z
UPADACITINIB LP,UPADACITINIB,AUTO,2026-08-21T02:10:48.697Z
MICOFENOLATO,ACIDO MICOFENOLICO,AUTO,2026-08-21T02:10:48.699Z
TACROLIMUS AP,TACROLIMUS,AUTO,2026-08-21T02:10:48.699Z
GOSERELIN DEPOT,"GOSERELINA, ACETATO",AUTO,2026-08-21T02:10:48.700Z
VINCRISTINA LIOF,"VINCRISTINA, SULFATO",AUTO,2026-08-21T02:10:48.703Z
FINGOLINOD,"FINGOLIMOD, CLORHIDRATO",AUTO,2026-08-21T02:10:48.704Z
